UNITID,GR_Source,Adj6yrGrad,Adj6yrAAH,6yrGrad,6yrAAH,6yrAA,6yrH,Xfer,XferAAH,XferAA,XferH
201955,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201964,2014-2016,0.33,0.25,0.33,0.25,0.24,0.33,N/A,N/A,N/A,N/A
201973,2014-2016,0.24,0.2,0.13,0.07,0.07,0.13,0.21,0.26,0.26,0.27
201982,2014-2016,N/A,N/A,0.59,0.17,0.17,N/A,N/A,N/A,N/A,N/A
202046,2014-2016,0.65,0.52,0.65,0.52,0.52,0.54,N/A,N/A,N/A,N/A
202073,2014-2016,0.69,0.5,0.69,0.5,N/A,0.5,0.29,0,N/A,0
202161,2014-2016,N/A,N/A,0.75,0.68,0.66,0.83,N/A,N/A,N/A,N/A
202170,2014-2016,0.59,0.49,0.59,0.49,0.47,0.52,N/A,N/A,N/A,N/A
202222,2016,0.3,0.22,0.2,0.11,0.09,0.2,0.2,0.21,0.21,0.22
202356,2016,0.26,0.2,0.13,0.06,0.06,0.07,0.27,0.28,0.3,0.16
202435,2014-2016,N/A,N/A,0.19,0.12,0.14,0,N/A,N/A,N/A,N/A
202453,2014-2016,N/A,N/A,0.65,0.64,0.63,1,N/A,N/A,N/A,N/A
202514,2014-2016,0.44,0.28,0.44,0.28,0.21,0.46,N/A,N/A,N/A,N/A
202648,2014-2016,0.3,0.32,0.2,0.12,0.11,0.17,0.21,0.39,0.43,0.17
202657,2014-2016,N/A,N/A,0.83,0.71,0.54,0.84,N/A,N/A,N/A,N/A
202684,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
202763,2014-2016,0.58,0.34,0.58,0.34,0.31,0.38,N/A,N/A,N/A,N/A
202806,2014-2016,0.09,0.09,0.09,0.09,0.07,0.33,N/A,N/A,N/A,N/A
202903,2014-2016,0.44,0,0.44,0,0,0,N/A,N/A,N/A,N/A
202912,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
