College Name,City,State,ZipCode,Selectivity,file_name
University of San Diego,San Diego,CA,92110,VERY COMPETITIVE+,searchpage-profile.cfm_159.html
University of Charleston,Charleston,WV,25304,COMPETITIVE,searchpage-profile.cfm_1590.html
West Liberty University,West Liberty,WV,26074,COMPETITIVE,searchpage-profile.cfm_1591.html
West Virginia State University,Institute,WV,25112,NONCOMPETITIVE,searchpage-profile.cfm_1592.html
West Virginia University,Morgantown,WV,26506,COMPETITIVE,searchpage-profile.cfm_1593.html
West Virginia University Institute of Technology,Montgomery,WV,25136,NONCOMPETITIVE,searchpage-profile.cfm_1594.html
West Virginia Wesleyan College,Buckhannon,WV,26201,COMPETITIVE,searchpage-profile.cfm_1595.html
Wheeling Jesuit University,Wheeling,WV,26003,LESS COMPETITIVE,searchpage-profile.cfm_1596.html
Alverno College,Milwaukee,WI,53234,LESS COMPETITIVE,searchpage-profile.cfm_1597.html
Beloit College,Beloit,WI,53511,HIGHLY COMPETITIVE,searchpage-profile.cfm_1598.html
Cardinal Stritch University,Milwaukee,WI,53217,COMPETITIVE,searchpage-profile.cfm_1599.html
Woodbury University,Burbank,CA,91510,LESS COMPETITIVE,searchpage-profile.cfm_160.html
Carroll University,Waukesha,WI,53186,COMPETITIVE+,searchpage-profile.cfm_1600.html
Carthage College,Kenosha,WI,53140,COMPETITIVE,searchpage-profile.cfm_1601.html
Concordia University Wisconsin,Mequon,WI,53097,COMPETITIVE,searchpage-profile.cfm_1602.html
Edgewood College,Madison,WI,53711,COMPETITIVE,searchpage-profile.cfm_1603.html
Lakeland University,Plymouth,WI,53073,COMPETITIVE,searchpage-profile.cfm_1604.html
Lawrence University,Appleton,WI,54911,HIGHLY COMPETITIVE,searchpage-profile.cfm_1605.html
