UNITID,CEEB,ACT,ACI
180249,2000,N/A,
180258,4058,2410,
180276,2022,N/A,
180328,536,N/A,
180373,4081,2412,
180416,4487,2418,
180461,4488,2420,
180489,4489,2422,
180522,4538,2424,
180595,4660,2426,
180647,898,N/A,
180692,4945,2428,
180814,6053,2437,
180832,N/A,2436,
180878,6058,2438,
180902,N/A,6369,
180948,6466,2466,
180984,6116,2442,
181002,6121,2444,
181020,6165,2448,
181093,6248,2454,
181215,6467,2468,
181242,3385,4788,
181297,6510,2465,
181303,5755,2447,
181312,N/A,2491,
181330,6406,2462,
181376,1332,2473,
181394,6420,2464,
181400,N/A,5572,
181419,1431,N/A,
181428,6896,2487,
181446,6470,2474,
181464,6877,2482,
181534,6468,2470,
181543,N/A,2463,
181604,6106,2440,
181640,1189,4787,
181738,6865,2480,
181765,1305,2458,
181783,6469,2472,
181817,N/A,2478,
181853,6984,2484,
182005,4136,2498,
182281,4861,2496,
182290,4844,2494,
182306,4293,2493,
182458,4757,2497,
182500,1096,2499,
182564,1141,2495,
182634,3281,2506,
182661,3648,2525,
182670,3351,2508,
